Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
2,S1BB-13-F,Diodes Inc.,S1BB-13-F,https://octopart.com/s1bb-13-f-diodes+inc.-333220,"D8,D9",S1BB,SMB,2,S1BB-FDICT-ND,S1BB-13-F,Cut Tape,,0.4976685,0.564921,32572,4740,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=04f214c&sid=459&ppid=333220&vpid=1137864&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=093189d&sid=2401&ppid=333220&vpid=37600245&ct=offers,Freelance Electronics,S1BB-13-F,,0.12105450000000001,0.24210900000000002,0.24210900000000002,3000,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d26a9a&sid=13062&ppid=333220&vpid=90545985&ct=offers,
4,1N914BWS,Fairchild Semiconductor,1N914BWS,https://octopart.com/1n914bws-fairchild+semiconductor-7850921,"D10,D7,D6,D5",1N914,SOD323,4,1N914BWSCT-ND,1N914BWS,Cut Tape,,0.18830700000000003,0.17485650000000003,253227,61488,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0ac4bc6&sid=459&ppid=7850921&vpid=34028434&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0118830&sid=2401&ppid=7850921&vpid=37800628&ct=offers,Rochester Electronics,1N914BWS,,0.026901,0.107604,0.107604,70048,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=02c0c76&sid=5832&ppid=7850921&vpid=84912100&ct=offers,
6,PJ301BM,,,,"J1,J2,J3,J4,J5,J6",WQP-PJ301BM,3.5 MM JACK,6,,,,,,,,,,,,,,,,,,,,,,
2,BCM857BS-7-F,Diodes Inc.,BCM857BS-7-F,https://octopart.com/bcm857bs-7-f-diodes+inc.-67250368,"Q2,Q1",BCM857BS,SOT323-6,2,BCM857BS-7-FDICT-ND,BCM857BS-7-F,Cut Tape,,0.44386650000000005,0.403515,950,2760,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=08b338e&sid=459&ppid=67250368&vpid=242948406&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=09f18e1&sid=2401&ppid=67250368&vpid=274638072&ct=offers,Mouser,BCM857BS-7-F,,0.403515,0.80703,0.80703,2760,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=09f18e1&sid=2401&ppid=67250368&vpid=274638072&ct=offers,
4,MMBFJ112,Fairchild Semiconductor,MMBFJ112,https://octopart.com/mmbfj112-fairchild+semiconductor-13412317,"Q6,Q5,Q4,Q3",J112,SOT23,4,MMBFJ112CT-ND,,Cut Tape,,0.618723,,14344,,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0f213ff&sid=459&ppid=13412317&vpid=1973648&ct=offers,,Future Electronics,3286895,Cut Tape,0.1129842,0.4519368,0.4519368,0,1,https://octopart.com/click/track?c=1&country=CA&ak=68b25f31&sig=09677eb&sid=2454&ppid=13412317&vpid=109742646&ct=offers,
4,RC0603FR-0710KL,Yageo,RC0603FR-0710KL,https://octopart.com/rc0603fr-0710kl-yageo-40025538,"R1,R49,R70,R71",10K,0603,4,311-10.0KHRCT-ND,RC0603FR-0710KL,Cut Tape,,0.134505,0.134505,17944628,1019470,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0830c62&sid=2401&ppid=40025538&vpid=115161137&ct=offers,Area51,RC0603FR-0710KL,,0.002017575,0.0080703,0.0080703,5385,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0c2adcd&sid=13811&ppid=40025538&vpid=189264244&ct=offers,
2,RC0603FR-07200KL,Yageo,RC0603FR-07200KL,https://octopart.com/rc0603fr-07200kl-yageo-1190520,"R5,R6",200K,0603,2,311-200KHRCT-ND,RC0603FR-07200KL,Cut Tape,,0.134505,0.134505,1134443,108759,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=090581a&sid=459&ppid=1190520&vpid=2026445&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0f679c2&sid=2401&ppid=1190520&vpid=57541751&ct=offers,Freelance Electronics,RC0603FR-07200KL,,0.0134505,0.026901,0.026901,0,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=08b85c3&sid=13062&ppid=1190520&vpid=319375670&ct=offers,
1,RC0603FR-07110KL,Yageo,RC0603FR-07110KL,https://octopart.com/rc0603fr-07110kl-yageo-1180242,R9,110K,0603,1,311-110KHRCT-ND,RC0603FR-07110KL,Cut Tape,,0.134505,0.134505,508755,129823,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0a3b25b&sid=459&ppid=1180242&vpid=1096067&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0310b2d&sid=2401&ppid=1180242&vpid=55215447&ct=offers,Quest,RC0603FR-07110KL,,0.018158175000000002,0.018158175000000002,0.018158175000000002,4905,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0b13bae&sid=2412&ppid=1180242&vpid=39538909&ct=offers,
1,RC0603FR-07680KL,Yageo,RC0603FR-07680KL,https://octopart.com/rc0603fr-07680kl-yageo-55458494,R10,680K,0603,1,311-680KHRCT-ND,RC0603FR-07680KL,Cut Tape,,0.134505,0.134505,235274,34193,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0be35ee&sid=459&ppid=55458494&vpid=189201576&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0c6a180&sid=2401&ppid=55458494&vpid=192410572&ct=offers,Newark,66R2539,,0.008,0.008,0.008,0,,https://octopart.com/click/track?c=1&country=CA&ak=68b25f31&sig=0f14a22&sid=2402&ppid=55458494&vpid=259780948&ct=offers,
1,RC0603FR-071ML,Yageo,RC0603FR-071ML,https://octopart.com/rc0603fr-071ml-yageo-1168402,R11,1M,0603,1,311-1.00MHRCT-ND,RC0603FR-071ML,Cut Tape,,0.134505,0.134505,2247161,602974,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=026478a&sid=459&ppid=1168402&vpid=115263520&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=03fe4a5&sid=2401&ppid=1168402&vpid=116521345&ct=offers,Quest,RC0603FR-071ML,,0.018158175000000002,0.018158175000000002,0.018158175000000002,73887,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0c14e74&sid=2412&ppid=1168402&vpid=116519338&ct=offers,
2,RC0603FR-071KL,Yageo,RC0603FR-071KL,https://octopart.com/rc0603fr-071kl-yageo-55402882,"R12,R54",1K,0603,2,311-1.00KHRCT-ND,RC0603FR-071KL,Cut Tape,,0.134505,0.134505,7245403,1109725,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0fe2519&sid=459&ppid=55402882&vpid=188128906&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0fb13ef&sid=2401&ppid=55402882&vpid=187885225&ct=offers,Area51,RC0603FR-071KL,,0.0026901000000000004,0.005380200000000001,0.005380200000000001,15094,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d91a1b&sid=13811&ppid=55402882&vpid=189264360&ct=offers,
4,RC0603FR-071KL,Yageo,RC0603FR-071KL,https://octopart.com/rc0603fr-071kl-yageo-55402882,"R13,R14,R18,R50",47K,0603,4,311-1.00KHRCT-ND,RC0603FR-071KL,Cut Tape,,0.134505,0.134505,7245403,1109725,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0fe2519&sid=459&ppid=55402882&vpid=188128906&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0fb13ef&sid=2401&ppid=55402882&vpid=187885225&ct=offers,Area51,RC0603FR-071KL,,0.0026901000000000004,0.010760400000000002,0.010760400000000002,15094,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d91a1b&sid=13811&ppid=55402882&vpid=189264360&ct=offers,
1,RC0603FR-07150KL,Yageo,RC0603FR-07150KL,https://octopart.com/rc0603fr-07150kl-yageo-40301068,R15,150K,0603,1,311-150KHRCT-ND,RC0603FR-07150KL,Cut Tape,,0.134505,0.134505,397717,170321,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=01e6ff8&sid=459&ppid=40301068&vpid=114982792&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d18a00&sid=2401&ppid=40301068&vpid=114830346&ct=offers,Quest,RC0603FR-07150KL,,0.0242109,0.0242109,0.0242109,27642,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=04098f2&sid=2412&ppid=40301068&vpid=126661779&ct=offers,
1,RC0603FR-074K7L,Yageo,RC0603FR-074K7L,https://octopart.com/rc0603fr-074k7l-yageo-55402884,R16,4.7K,0603,1,311-4.70KHRCT-ND,RC0603FR-074K7L,Cut Tape,,0.134505,0.134505,3399606,646715,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0a45dd8&sid=459&ppid=55402884&vpid=188128925&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0aae6a4&sid=2401&ppid=55402884&vpid=187885233&ct=offers,Area51,RC0603FR-074K7L,,0.0029591100000000005,0.0029591100000000005,0.0029591100000000005,14451,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0e1d9bc&sid=13811&ppid=55402884&vpid=229658842&ct=offers,
1,RC0603FR-105K6L,Yageo,RC0603FR-105K6L,https://octopart.com/rc0603fr-105k6l-yageo-16255932,R17,5.6K,0603,1,,RC0603FR-105K6L,,,,0.134505,,68551,,,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=00b68ef&sid=2401&ppid=16255932&vpid=269060259&ct=offers,Mouser,RC0603FR-105K6L,,0.134505,0.134505,0.134505,68551,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=00b68ef&sid=2401&ppid=16255932&vpid=269060259&ct=offers,
1,ABNTC-0805-103J-3950F-T,Abracon,ABNTC-0805-103J-3950F-T,https://octopart.com/abntc-0805-103j-3950f-t-abracon-29811145,R19,10K NTC,0805,1,535-12852-1-ND,,Cut Tape,,0.36316350000000003,,2579,,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d58679&sid=459&ppid=29811145&vpid=194407649&ct=offers,,Digi-Key,535-12852-1-ND,Cut Tape,0.36316350000000003,0.36316350000000003,0.36316350000000003,2579,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d58679&sid=459&ppid=29811145&vpid=194407649&ct=offers,
2,RC0603FR-071K5L,Yageo,RC0603FR-071K5L,https://octopart.com/rc0603fr-071k5l-yageo-55458478,"R20,R27",1.5K,0603,2,311-1.50KHRCT-ND,RC0603FR-071K5L,Cut Tape,,0.134505,0.134505,454711,216796,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0b06e3b&sid=459&ppid=55458478&vpid=188128903&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0d51136&sid=2401&ppid=55458478&vpid=187885223&ct=offers,Area51,RC0603FR-071K5L,,0.0026901000000000004,0.005380200000000001,0.005380200000000001,2299,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0461ba8&sid=13811&ppid=55458478&vpid=189264358&ct=offers,
2,RC0603FR-071M5L,Yageo,RC0603FR-071M5L,https://octopart.com/rc0603fr-071m5l-yageo-40315640,"R21,R28",1.5M,0603,2,311-1.50MHRCT-ND,RC0603FR-071M5L,Cut Tape,,0.134505,0.134505,306867,0,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=049f20d&sid=459&ppid=40315640&vpid=114982871&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0c93829&sid=2401&ppid=40315640&vpid=121772734&ct=offers,Future Electronics,6843296,Cut Tape,0.07397775000000001,0.14795550000000002,0.14795550000000002,0,1,https://octopart.com/click/track?c=1&country=CA&ak=68b25f31&sig=0de33ed&sid=2454&ppid=40315640&vpid=416981475&ct=offers,
1,RC0603FR-078K2L,Yageo,RC0603FR-078K2L,https://octopart.com/rc0603fr-078k2l-yageo-40301092,R22,8.2K,0603,1,311-8.20KHRCT-ND,RC0603FR-078K2L,Cut Tape,,0.134505,0.134505,668000,60464,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0e95675&sid=459&ppid=40301092&vpid=114983058&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0f68b88&sid=2401&ppid=40301092&vpid=114830358&ct=offers,Quest,RC0603FR-078K2L,,0.018158175000000002,0.018158175000000002,0.018158175000000002,53805,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=005540b&sid=2412&ppid=40301092&vpid=116520131&ct=offers,
1,RC0603FR-071K8L,Yageo,RC0603FR-071K8L,https://octopart.com/rc0603fr-071k8l-yageo-40952851,R23,1.8K,0603,1,311-1.80KHRCT-ND,RC0603FR-071K8L,Cut Tape,,0.134505,0.134505,435112,113375,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=00738d6&sid=459&ppid=40952851&vpid=114982867&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=06af5af&sid=2401&ppid=40952851&vpid=116521344&ct=offers,Quest,RC0603FR-071K8L,,0.018158175000000002,0.018158175000000002,0.018158175000000002,3171,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=05744d8&sid=2412&ppid=40952851&vpid=126661794&ct=offers,
1,RC0603FR-07820RL,Yageo,RC0603FR-07820RL,https://octopart.com/rc0603fr-07820rl-yageo-41204300,R25,820,0603,1,311-820HRCT-ND,RC0603FR-07820RL,Cut Tape,,0.134505,0.134505,216811,16295,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0813b73&sid=459&ppid=41204300&vpid=114983049&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0a943cf&sid=2401&ppid=41204300&vpid=116521359&ct=offers,Future Electronics,8386369,Cut Tape,0.07397775000000001,0.07397775000000001,0.07397775000000001,2703,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=00b2b94&sid=2454&ppid=41204300&vpid=416981735&ct=offers,
6,RC0603FR-0768KL,Yageo,RC0603FR-0768KL,https://octopart.com/rc0603fr-0768kl-yageo-41204191,"R29,R35,R37,R52,R60,R63",68K,0603,6,311-68.0KHRCT-ND,RC0603FR-0768KL,Cut Tape,,0.134505,0.134505,613756,73519,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=09009b4&sid=459&ppid=41204191&vpid=114983030&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0b62729&sid=2401&ppid=41204191&vpid=116521358&ct=offers,ExcessParts.Net,RC0603FR-0768KL,,0.0134505,0.080703,0.080703,4967,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=09911a8&sid=13803&ppid=41204191&vpid=135727492&ct=offers,
6,RC0603FR-07560RL,Yageo,RC0603FR-07560RL,https://octopart.com/rc0603fr-07560rl-yageo-1265587,"R30,R36,R38,R53,R62,R65",560,0603,6,311-560HRCT-ND,RC0603FR-07560RL,Cut Tape,,0.134505,0.134505,1093994,48486,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0ea5425&sid=459&ppid=1265587&vpid=115682465&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0cfe336&sid=2401&ppid=1265587&vpid=116521356&ct=offers,Quest,RC0603FR-07560RL,,0.030263625000000002,0.18158175000000001,0.18158175000000001,4730,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=040bef1&sid=2412&ppid=1265587&vpid=194833917&ct=offers,
6,RC0603FR-0718KL,Yageo,RC0603FR-0718KL,https://octopart.com/rc0603fr-0718kl-yageo-40952836,"R31,R32,R39,R55,R56,R68",18K,0603,6,311-18.0KHRCT-ND,RC0603FR-0718KL,Cut Tape,,0.134505,0.134505,574517,68400,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=09a3d7a&sid=459&ppid=40952836&vpid=114982817&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0ef00ea&sid=2401&ppid=40952836&vpid=115161141&ct=offers,Future Electronics,7908486,Cut Tape,0.07397775000000001,0.44386650000000005,0.44386650000000005,0,1,https://octopart.com/click/track?c=1&country=CA&ak=68b25f31&sig=02f61f2&sid=2454&ppid=40952836&vpid=416981425&ct=offers,
7,RC0603FR-0733KL,Yageo,RC0603FR-0733KL,https://octopart.com/rc0603fr-0733kl-yageo-40254901,"R33,R34,R40,R46,R57,R58,R69",33K,0603,7,311-33.0KHRCT-ND,RC0603FR-0733KL,Cut Tape,,0.134505,0.134505,603894,372069,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=06665e9&sid=459&ppid=40254901&vpid=114982936&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0df1e72&sid=2401&ppid=40254901&vpid=117598055&ct=offers,Newark,68R0084,Cut Tape,0.002,0.014,0.014,3250,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=071bb6f&sid=2402&ppid=40254901&vpid=208801480&ct=offers,
1,RC0603FR-073K3L,Yageo,RC0603FR-073K3L,https://octopart.com/rc0603fr-073k3l-yageo-40011875,R41,3.3K,0603,1,311-3.30KHRCT-ND,RC0603FR-073K3L,Cut Tape,,0.134505,0.134505,1860756,206098,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0735e2e&sid=459&ppid=40011875&vpid=114982962&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=025390a&sid=2401&ppid=40011875&vpid=114830356&ct=offers,Quest,RC0603FR-073K3L,,0.0242109,0.0242109,0.0242109,29387,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0bb7680&sid=2412&ppid=40011875&vpid=123662364&ct=offers,
2,RC0603FR-0756KL,Yageo,RC0603FR-0756KL,https://octopart.com/rc0603fr-0756kl-yageo-41455254,"R42,R43",56K,0603,2,311-56KHRCT-ND,RC0603FR-0756KL,Cut Tape,,0.134505,0.134505,434712,130124,1,,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=014be49&sid=459&ppid=41455254&vpid=115141445&ct=offers,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=0aeb601&sid=2401&ppid=41455254&vpid=116521357&ct=offers,Digi-Key,311-56KHRCT-ND,Cut Tape,0.134505,0.26901,0.26901,434712,1,https://octopart.com/click/track?country=CA&ak=68b25f31&sig=014be49&sid=459&ppid=41455254&vpid=115141445&ct=offers,
